album_uri,album_name,album_img,album_release_date,album_release_year,album_popularity,track_name,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_mode,track_popularity,artist
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,The Hills,7H5EBs3aGqRPZaGEvU6y6F,0.581,0.574,C,-7.023,minor,0.0579,0.0598,0,0.146,0.154,113.001,242280,4,C minor,22,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Acquainted,5OejsjQoFVXniKLsXYs7G4,0.445,0.491,G,-9.848,minor,0.0514,0.457,0,0.084,0.249,105.923,348893,4,G minor,16,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Can't Feel My Face,64bYIchESwtANfBlwJoK1e,0.474,0.76,A,-5.434,minor,0.0584,0.129,0,0.0949,0.52,107.511,213520,4,A minor,26,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Shameless,7MMQME7nvRBZ1ru82bJ9of,0.606,0.56,F#,-8.245,major,0.0274,0.137,0,0.099,0.256,100.029,253507,4,F# major,16,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Earned It (Fifty Shades Of Grey),7ID2dydg1QFuWObmdhwzfm,0.48,0.281,D,-8.409,minor,0.0387,0.441,0,0.0757,0.373,119.783,277707,3,D minor,26,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,In The Night,17ghHlAfjnAIEpYGTlX4GL,0.504,0.676,G,-4.945,major,0.0775,0.085,0,0.0476,0.582,167.902,235627,3,G major,16,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,As You Are,2d1ogCmohNk5jsRTk0eCNs,0.361,0.331,C,-9.805,minor,0.0538,0.157,0.00517,0.25,0.0567,173.769,340493,4,C minor,13,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Dark Times,3JOh1LxSDVjTLF5DAB8R5M,0.499,0.427,G,-9.576,major,0.0808,0.0892,1.03e-5,0.123,0.218,133.091,260640,3,G major,12,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Prisoner,3q3INoUz56tAaKXZSkONon,0.555,0.411,C,-12.738,minor,0.0404,0.45,1.21e-4,0.203,0.341,135.051,274960,4,C minor,12,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Angel,2qHMUxqGht8K1wNjXG40wH,0.624,0.587,A#,-7.545,minor,0.0424,0.112,0,0.13,0.329,128.008,377627,4,A# minor,11,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,Can't Feel My Face - Martin Garrix Remix,5KIfOGEy5DM2TaT0ph5nYM,0.616,0.692,A,-5.405,minor,0.0884,0.0113,1.48e-5,0.311,0.13,128.033,253933,4,A minor,23,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,The Hills - Remix,2jpBr2dJrIgrpkqorINSAa,0.501,0.627,C,-6.654,minor,0.242,0.0573,0,0.0937,0.29,111.773,263960,4,C minor,12,The Weeknd
36yJ6fcaSCVsK1tybnNizj,Beauty Behind The Madness,https://i.scdn.co/image/51a60fbb7daba6e6fbc0d3b47e34017dce6f3921,2016-03-16,2016-03-16,25,The Hills - Remix,019FM2BxcPE2vyGWeOWhvS,0.42,0.6,C,-7.003,minor,0.113,0.103,0,0.127,0.178,113.082,243493,4,C minor,9,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Starboy,7MXVkk9YMctZqd1Srtv4MB,0.675,0.595,G,-7.033,major,0.284,0.168,3.36e-6,0.136,0.491,185.998,230453,4,G major,79,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Party Monster,4F7A0DXBrmUAkp32uenhZt,0.585,0.612,C#,-8.341,major,0.0806,0.181,1.03e-5,0.293,0.188,77.487,249213,4,C# major,73,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,False Alarm,4oeaIftdpT3JuZLcCkKmVE,0.513,0.674,G#,-6.483,minor,0.0776,0.0288,3.79e-5,0.188,0.192,174.019,220307,4,G# minor,66,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Reminder,37F0uwRSrdzkBiuj0D5UHI,0.71,0.495,G#,-7.369,major,0.22,0.156,0,0.164,0.396,160.091,218880,4,G# major,73,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Rockin’,36YCdzT57us0LhDmCYtrNE,0.735,0.886,A,-5.572,minor,0.216,0.014,0,0.0788,0.758,113.002,232880,4,A minor,66,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Secrets,00NAQYOP4AmWR549nnYJZu,0.674,0.779,C,-5.779,major,0.0509,0.0183,7.35e-6,0.474,0.732,109.933,265600,4,C major,70,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,True Colors,1oGdVdYjeQvojGKDddxLQQ,0.68,0.429,C#,-8.297,major,0.218,0.299,0,0.195,0.595,76.806,206013,4,C# major,70,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Stargirl Interlude,4EDijkJdHBZZ0GwJ12iTAj,0.637,0.477,F,-12.733,minor,0.117,0.355,0.0682,0.0981,0.468,90.018,111640,4,F minor,64,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Sidewalks,4h90qkbnW1Qq6pBhoPvwko,0.542,0.727,C#,-5.268,minor,0.0849,0.135,0,0.328,0.548,150.098,231360,4,C# minor,69,The Weeknd
2ODvWsOgouMbaA5xf0RkJe,Starboy,https://i.scdn.co/image/7bc60842d505753942b0cedf0e95f53074867806,2016-11-25,2016-11-25,78,Six Feet Under,4mU5iXHeLgbR94siF7p1sY,0.768,0.485,F#,-8.435,minor,0.0825,0.102,0,0.128,0.289,140.016,237573,4,F# minor,68,The Weeknd
